"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"HaVen: Hallucination-Mitigated LLM for Verilog Code Generation Aligned with HDL Engineers","Y. Yang; F. Teng; P. Liu; M. Qi; C. Lv; J. Li; X. Zhang; Z. He","School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University, Shanghai, China; School of Software Technology, Zhejiang University, Ningbo, China; School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University, Shanghai, China; School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University, Shanghai, China; School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University, Shanghai, China; Independent Researcher; School of Software Technology, Zhejiang University, Ningbo, China; School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University, Shanghai, China","2025 Design, Automation & Test in Europe Conference (DATE)","21 May 2025","2025","","","1","7","Recently, the use of large language models (LLMs) for Verilog code generation has attracted great research interest to enable hardware design automation. However, previous works have shown a gap between the ability of LLMs and the practical demands of hardware description language (HDL) engineering. This gap includes differences in how engineers phrase questions and hallucinations in the code generated. To address these chal-lenges, we introduce Haven, a novel LLM framework designed to mitigate hallucinations and align Verilog code generation with the practices of HDL engineers. Haven tackles hallucination issues by proposing a comprehensive taxonomy and employing a chain-of-thought (CoT) mechanism to translate symbolic modalities (e.g. truth tables, state diagrams, etc.) into accurate natural language descriptions. Furthermore, Haven bridges this gap by using a data augmentation strategy. It synthesizes high-quality instruction-code pairs that match real HDL engineering practices. Our experiments demonstrate that Haven significantly improves the correctness of Verilog code generation, outperforming state-of-the-art LLM-based Verilog generation methods on VerilogEval and RTLLM benchmark. Haven is publicly available at https://github.com/Intelli2ent-Computing-Research-Group/HaVen.","1558-1101","978-3-9826741-0-0","10.23919/DATE64628.2025.10993072","National Key R&D Program of China(grant numbers:2022YFB4500200); National Natural Science Foundation of China(grant numbers:62102257); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10993072","Verilog Code Generation;LLM","Bridges;Codes;Translation;Design automation;Large language models;Taxonomy;Europe;Data augmentation;Hardware;Hardware design languages","","25","","34","","21 May 2025","31 March-2 April 2025","31 March-2 April 2025","IEEE","IEEE Conferences"
"GenAI-enabled Network Design for the Case of the Outage Probability of a Beaulieu-Xie Wireless Fading Environment with Maximal Ratio Combining","S. Suljović; N. Petrović; D. Krstić","The University Metropolitan, Belgrade, Serbia; Faculty of Electronic Engineering, University of Nis, Niš, Serbia; Faculty of Electronic Engineering, University of Nis, Niš, Serbia",2025 International Symposium ELMAR,"15 Oct 2025","2025","","","205","208","This paper discusses the outage probability (Pout) based on the average output signal-to-noise ratio (SNR) in the wireless system with Maximal Ratio Combining (MRC) receiver with L branches. In this system, the fading described by the Beaulieu-Xie (BX) distribution is present. Based on some plotted graph, an analysis of fading parameters to Pout is done. Additionally, we investigate the use of Generative Artificial Intelligence (GenAI) techniques to aid network experimentation and reduce the cognitive burden. A proof-of-concept implementation is showcased using the Pout case study introduced in the first part of the paper.","2835-3781","979-8-3315-9679-8","10.1109/ELMAR66948.2025.11193751","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11193751","Beaulieu-Xie fading;GenAI;Large Language Models (LLM);Model-Driven Engineering (MDE);Outage Probability","Fading channels;Wireless communication;Prevention and mitigation;Large language models;Diversity reception;Receivers;Probability;Model driven engineering;Power system reliability;Signal to noise ratio","","2","","18","IEEE","15 Oct 2025","15-17 Sept. 2025","15-17 Sept. 2025","IEEE","IEEE Conferences"
"Towards LLM-augmented multiagent systems for agile software engineering","J. A. Chudziak; K. Cinkusz","Faculty of Electronics and Information Technology, Warsaw University of Technology, Warsaw, Poland; Faculty of Electronics and Information Technology, Warsaw University of Technology, Warsaw, Poland",2024 39th IEEE/ACM International Conference on Automated Software Engineering (ASE),"29 Nov 2024","2024","","","2476","2477","A cognitive multi-agent ecosystem designed for efficient software engineering using Agile methodologies can significantly improve software development processes. Key components include the integration of Multi-Agent Systems (MAS) and Large Language Models (LLMs), utilizing Dynamic Context techniques for agent profiling, and Theory of Mind to enhance collaboration. The CogniSim Ecosystem analyzes problems, proposes solutions, constructs and validates plans, and coordinates specialized agents playing roles such as developers, executors, quality checkers, and methodology reviewers. These agents produce documentation, models, and diagrams (e.g., UML) while adhering to predefined quality and performance measures. The ecosystem also simulates the impact of various team configurations on problem-solving effectiveness, helping organizations identify optimal team structures. Case studies and simulations demonstrate its practical applications.CCS CONCEPTS• Computing methodologies → Multi-agent systems; • Software and its engineering → Agile software development.","2643-1572","979-8-4007-1248-7","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10764913","Multi-Agent Systems;Large Language Models;Software Engineering;Collaboration Automation;methodologies;SAFe;CogniSim","Computational modeling;Large language models;Unified modeling language;Ecosystems;Agile software development;Organizations;Software;Problem-solving;Multi-agent systems;Software engineering","","2","","12","","29 Nov 2024","27 Oct.-1 Nov. 2024","27 Oct.-1 Nov. 2024","IEEE","IEEE Conferences"
"AssertSynth: LLM-Based Assertion Synthesis via Multimodal Specification Extraction","E. Tian; Y. Ci; Q. Yang; Y. Li; Z. Lyu","Institute of Software, Chinese Academy of Sciences, Beijing, China; Institute of Software, Chinese Academy of Sciences, Beijing, China; Institute of Software, Chinese Academy of Sciences, Beijing, China; Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China; Institute of Software, Chinese Academy of Sciences, Beijing, China",2026 IEEE International Symposium on Circuits and Systems (ISCAS),"18 Jun 2026","2026","","","3371","3375","Assertion-Based Verification (ABV) is critical for ensuring functional correctness in modern hardware systems. However, manually writing high-quality SystemVerilog Assertions (SVAs) remains labor-intensive and error-prone. To bridge this gap, we propose AssertSynth, a novel unified framework that automatically synthesizes high-quality SVAs directly from multimodal hardware design specifications. AssertSynth employs a modality-aware preprocessing to parse heterogeneous specification formats (text, tables, diagrams, and formulas), followed by a set of dedicated semantic analyzers that extract structured representations aligned with signal-level semantics. These representations are utilized to drive assertion synthesis via multi-step chain-of-thought (CoT) prompting. The framework incorporates a mutation-based evaluation approach to assess assertion quality via model checking and further refine the synthesized assertions. Experimental evaluation across three real-world Register-Transfer Level (RTL) designs demonstrates AssertSynth’s superior performance, achieving an average increase of 8.4% in functional correctness and 5.8% in mutation detection compared to existing state-of-the-art approaches.","2158-1525","979-8-3315-7769-8","10.1109/ISCAS66217.2026.11561988","National Natural Science Foundation of China; Beijing Municipal Natural Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11561988","Hardware Formal Verification;Assertion Synthesis;Large Language Models","Printing;Modeling;Conferences;Design methodology;Large language models;Register transfer level;Design automation;Equations;Generative Pre-trained transformer;Hardware","","","","31","IEEE","18 Jun 2026","24-28 May 2026","24-28 May 2026","IEEE","IEEE Conferences"
"QoS-Aware Service Composition: A Retrospective","L. Zeng; B. Benatallah; M. Dumas; J. Kalagnanam; A. H. H. Ngu","JP Morgan Chase & Co., Palo Alto, CA, USA; Insight SFI Research Centre on Data Analytics, Dublin City University, Dublin, Ireland; University of Tartu, Tartu, Estonia; IBM Research, Yorktown Heights, NY, USA; Texas State University, San Marcos, TX, USA",IEEE Transactions on Software Engineering,"17 Mar 2025","2025","51","3","836","841","We provide a retrospective on our article “QoS-Aware Middleware for Web Service Composition” published in the May 2004 issue of IEEE Transactions on Software Engineering. We start by defining the concept of Web service composition, and reviewing key paradigms emerging from early research on this topic. We then explain how the 2004 QoS article laid down a conceptual foundation that spawned a prolific line of research into the estimation and optimization of Quality of Service (QoS) properties of composite Web services. We close with a reflection on how the challenges tackled by the 2004 QoS article and other research on service composition are re-emerging in the field of Large Language Model (LLM) agents. We argue that the design of LLM agents raises challenges similar to those that the 2004 QoS article tackled, while bringing in new challenges due to the non-deterministic nature of LLMs and the fact that they consume and produce unstructured data.","1939-3520","","10.1109/TSE.2025.3533423","Estonian Centre of Excellence in AI through the Estonian Ministry of Education & Research; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10854362","Web services;service composition;QoS;agents","Quality of service;Web services;Optimization;Unified modeling language;Time factors;Mathematical models;Costs;Computational modeling;Vectors;Integer programming","","5","","42","IEEE","24 Jan 2025","March 2025","","IEEE","IEEE Journals"
"Generating Software Architecture Description from Source Code using Reverse Engineering and Large Language Model","A. Hatahet; C. Knieke; A. Rausch","Institute for Software and Systems Engineering, Technical University of Clausthal, Clausthal-Zellerfeld, Germany; Institute for Software and Systems Engineering, Technical University of Clausthal, Clausthal-Zellerfeld, Germany; Institute for Software and Systems Engineering, Technical University of Clausthal, Clausthal-Zellerfeld, Germany",2025 ACM/IEEE 28th International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C),"10 Dec 2025","2025","","","566","575","Software Architecture Descriptions (SADs) are indispensable for navigating the complexity of modern software systems. They enable high-level reasoning, guide design decisions, and facilitate communication among diverse stakeholders. Yet in practice, SADs are frequently missing, outdated, or poorly aligned with the system’s actual implementation. As a result, developers are forced to derive architectural insights directly from source code—a time-intensive task that increases mental effort, slows onboarding, and contributes to the gradual degradation of architectural clarity over a system’s lifetime. To address these challenges, we propose an automated generation of SADs from source code by combining reverse engineering (RE) techniques with Large Language Model (LLM). Our approach recovers both static and behavioral views by extracting a comprehensive component diagram, filters architecturally significant elements—core components—via prompt-guided LLM analysis, and generates state machine diagrams to model component behavior based on code logic. This dual-view representation offers a scalable and maintainable alternative to manual architectural documentation. This approach, demonstrated with C++ examples, showcases the potent capability of LLMs to: 1) find abstract component diagram, lowering the reliance on human expert involvement, and 2) represent complex software behaviors, especially when enriched with domain-specific knowledge through few-shot prompting. These findings suggest a viable path toward reducing manual effort while enhancing system understanding and long-term maintainability.","","979-8-3315-7990-6","10.1109/MODELS-C68889.2025.00080","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11273208","software architecture;architecture description;architecture recovery;reverse engineering;large language model","Software architecture;Navigation;Source coding;Large language models;Reverse engineering;Manuals;Software systems;Model driven engineering;Stakeholders;Logic","","1","","30","IEEE","10 Dec 2025","5-10 Oct. 2025","5-10 Oct. 2025","IEEE","IEEE Conferences"
"An Educational Dialogue System for Visually Impaired People","P. F. Balestrucci; E. Di Nuovo; M. Sanguinetti; L. Anselma; C. Bernareggi; A. Mazzei","Dipartimento di Informatica, Università degli Studi di Torino, Turin, Italy; Joint Research Centre, European Commission, Ispra, Italy; Dipartimento di Matematica e Informatica, Università degli Studi di Cagliari, Cagliari, Italy; Dipartimento di Informatica, Università degli Studi di Torino, Turin, Italy; Dipartimento di Matematica, Laboratorio Polin, Università degli Studi di Torino, Turin, Italy; Dipartimento di Informatica, Università degli Studi di Torino, Turin, Italy",IEEE Access,"22 Oct 2024","2024","12","","150502","150519","Finite State Automata (FSA) serve as a fundamental mathematical model of computation, commonly explored in computer science degree programs. Traditionally, FSA are represented through state diagrams or tables, which, in educational settings necessitating assistive technologies, pose accessibility challenges, particularly for Visually Impaired People (VIP). This work is part of a broader initiative focused on creating tools for inclusive access to scientific information. Its main goal is to explore the effectiveness of a dialogue system (DS) as an alternative method for conveying FSA information to VIP, aiming to enhance their comprehension and user experience. To achieve this, a rule-based DS tailored for facilitating FSA access, with a primary focus on VIP as end users, was developed. The research involved an A/B test comparing participants’ comprehension of FSA using the rule-based DS versus standard tabular representations. Statistical analysis was also carried out to evaluate the performance differences between the two methods. The findings indicate that communication through the DS significantly outperforms the tabular representation, establishing it as a viable and effective alternative for both VIP and non-VIP. Although VIP participants displayed slightly varying performance depending on the questions, their feedback favoured the DS for its ease of use and overall user satisfaction. Additionally, the study analysed the capabilities and limitations of popular Large Language Models (LLMs) in describing graphical structures like FSA. Despite their general effectiveness in language tasks, LLMs proved inadequate for accurately and consistently describing FSA, highlighting the need for more controlled and explainable DS approaches in educational contexts.","2169-3536","","10.1109/ACCESS.2024.3479883","NoVAGraphS (Non-Visual Access to Graphical Structure); Progetto CRT 2021.1930 from Fondazione CRT (Cassa di Risparmio di Torino); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10716367","Assistive technologies;chatbots;educational technology;natural language processing","Automata;Oral communication;Chatbots;User experience;Symbols;Navigation;Natural language generation;Mathematical models;Keyboards;Assistive technologies;Natural language processing","","5","","47","CCBY","14 Oct 2024","2024","","IEEE","IEEE Journals"
"FAIR GraphRAG: A Retrieval-Augmented Generation Approach for Semantic Data Analysis","M. Flüh; S. -Y. Kim; C. V. Schneider; S. Geisler","Data Stream Management and Analysis, RWTH Aachen University, Aachen, Germany; Data Stream Management and Analysis, RWTH Aachen University, Aachen, Germany; Gastroenterology, Metabolic Diseases and Intensive Care, University Hospital RWTH Aachen, Aachen, Germany; Data Stream Management and Analysis, RWTH Aachen University, Aachen, Germany",2025 IEEE International Conference on Knowledge Graph (ICKG),"26 Feb 2026","2025","","","90","97","Retrieval-Augmented Generation (RAG) addresses the limitations of Large Language Models (LLMs) when providing responses to domain-specific questions. Graph-based RAG approaches, such as GraphRAG, enhance retrieval by capturing semantic relationships within knowledge graphs (KGs). While the FAIR principles (Findability, Accessibility, Interoperability, and Reusability) are becoming prevalent for scientific data management, especially in complex domains such as medicine, existing RAG approaches lack a structured FAIRification of the underlying knowledge resources. This lack limits their potential for FAIR information retrieval in these domains. To address this gap, we introduce FAIR GraphRAG, a novel framework that integrates FAIR Digital Objects (FDOs) as the fundamental units of a graph-based retrieval system. Each graph node represents an FDO that incorporates core data, metadata, persistent identifiers, and semantic links. We leverage LLMs to support schema construction and automated extraction of content and metadata from data sources. The framework was co-designed by physicians and computer scientists to ensure technical and clinical relevance. We apply FAIR GraphRAG to a biomedical dataset in gastroenterology, demonstrating its applicability to single-cell data. Beyond ensuring adherence to the FAIR principles, FAIR GraphRAG significantly improves question answering accuracy, coverage, and explainability, particularly for complex queries involving metadata and ontology links. This work shows the feasibility of combining FAIR data practices with graph-based retrieval techniques. We see potential for applying our approach to other specialized fields such as education and business.","","979-8-3315-6689-0","10.1109/ICKG66886.2025.00019","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11391969","retrieval-augmented generation;FAIR data principles;FAIR Digital Object;knowledge graph construction;large language model","Accuracy;Large language models;Soft sensors;Semantics;Retrieval augmented generation;Knowledge graphs;Metadata;Ontologies;Interoperability;Standards","","1","","28","IEEE","26 Feb 2026","13-14 Nov. 2025","13-14 Nov. 2025","IEEE","IEEE Conferences"
"Leveraging Large Language Models for Event Storming in Domain-Driven Design: A Controlled Experiment","L. Cao; H. Zhang; S. Li; C. Zhong; D. Li; Y. Fan; Y. Zhang; U. Zdun","State Key Laboratory of Novel Software Technology, Software Institute, Nanjing University, Nanjing, China; State Key Laboratory of Novel Software Technology, Software Institute, Nanjing University, Nanjing, China; State Key Laboratory of Novel Software Technology, Software Institute, Nanjing University, Nanjing, China; Nanjing University of Science and Technology, Nanjing, China; State Key Laboratory of Novel Software Technology, Software Institute, Nanjing University, Nanjing, China; State Key Laboratory of Novel Software Technology, Software Institute, Nanjing University, Nanjing, China; Chongqing Institute of Engineering, Chongqing, China; Research Group Software Architecture, Faculty of Computer Science, University of Vienna, Vienna, Austria",2026 IEEE 23rd International Conference on Software Architecture (ICSA),"24 Jul 2026","2026","","","323","334","Event Storming (ES), as the key modeling technique within the Domain-Driven Design (DDD) methodology, provides teams with a fast, visual approach that helps them deeply understand and explore complex business domains, thereby enabling more effective software system design and development. Compared to traditional UML modeling techniques, ES emphasizes collaborative exploration and rapid iteration. However, its effectiveness is highly dependent on the facilitation of domain experts. Moreover, since ES sessions are typically conducted using physical or digital whiteboards, they often incur high coordination costs, especially in distributed or asynchronous environments. With the recent advances in Large Language Models (LLMs), there is growing interest in leveraging their reasoning and text generation capabilities to support software modeling tasks. This paper presents a controlled experiment to investigate the effectiveness of LLMs in facilitating ES modeling. A total of 240 postgraduate participants (60 teams) were assigned to three conditions: manual ES, LLM-assisted ES with basic prompts, and LLM-assisted ES with optimized prompts. The generated models were quantitatively evaluated in terms of Accuracy, Completeness, and Consistency. The findings show that while LLM-generated ES elements are generally reliable, LLMs tend to overlook or omit a substantial number of critical model elements. Optimized prompts can effectively steer LLMs towards inferring previously missing elements; however, for complex business logic, a single optimized prompt remains insufficient to achieve consistently high-quality modeling.","2835-7043","979-8-3315-5740-9","10.1109/ICSA66085.2026.00039","National Natural Science Foundation of China; Natural Science Foundation of Jiangsu Province; Nanjing University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11613045","event storming;large language models;controlled experiment;modeling;domain-driven design","Large language models;Modeling;Printing;Design methodology;Testing;Business;Optimization;Software engineering;Conferences;Software architecture","","","","60","IEEE","24 Jul 2026","22-26 June 2026","22-26 June 2026","IEEE","IEEE Conferences"
"A Service-Oriented Framework for An Integrated Study of Intelligent Data Collection and Application","P. -C. Ke; Y. -H. Liao; S. -Y. Lee; S. -Y. Huang; W. C. -C. Chu","Department of Computer Science, Tunghai University, Taichung, Taiwan; Department of Computer Science, Tunghai University, Taichung, Taiwan; Department of Computer Science, Tunghai University, Taichung, Taiwan; Department of Computer Science, Tunghai University, Taichung, Taiwan; Department of Computer Science, Tunghai University, Taichung, Taiwan","2023 IEEE 23rd International Conference on Software Quality, Reliability, and Security Companion (QRS-C)","19 Feb 2024","2023","","","230","236","Service-Oriented Architecture (SOA) provides an optimized and transformative approach to software design that uses flexible mechanisms for linking services. Recently, it has been used in the technical phases of large-scale software system projects. Integrating the connection between services and artificial intelligence enables faster and smarter application development while providing a reliable, scalable, and interoperable framework for easy integration of different services. In addition, SOA architecture helps businesses and developers better understand the composition and operation of their services, leading to more efficient service design and development. In this project, we design an SOA framework based on Taiwan's meteorological and ChatGPT services. This experiment architecture will help users understand the services' composition and construction process, enabling better future design and integration of additional assistance.","2693-9371","979-8-3503-5939-8","10.1109/QRS-C60940.2023.00034","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10430064","Service-Oriented Architecture;Artificial Intelligence;ChatGPT;Framework","Software design;Computer architecture;Software quality;Software systems;Service-oriented architecture;Software reliability;Security","","","","19","IEEE","19 Feb 2024","22-26 Oct. 2023","22-26 Oct. 2023","IEEE","IEEE Conferences"
"Accelerating Model-Based Systems Engineering by Harnessing Generative AI","E. S. Crabb; M. T. Jones","Office of Technology, Leidos, Reston, VA; Health and Civil Sector, Leidos, Reston, VA",2024 19th Annual System of Systems Engineering Conference (SoSE),"9 Aug 2024","2024","","","110","115","With the rise of artificial intelligence (AI) tools to support the work of numerous disciplines, we describe a preliminary investigation into the benefits and drawbacks of large language model (LLM) use as part of a traditional systems engineering and design workflow. To explore this, we tasked a group of systems engineers to each create a list of requirements and use case diagram to satisfy a systems of systems user scenario presented in a proposal document. Participants created models of a healthcare setting in which clinicians resolved discrepancies with patient care by consulting additional sources of record, demonstrating the importance of integrating new systems within the larger healthcare system of systems. The first group were provided open access to an LLM, the second group were provided draft materials generated by an LLM, and the third followed their normal workflow. A subject matter expert (SME) evaluator then scored each model according to its completeness, consistency, correctness, simplicity, and traceability. Through this, we show that although LLMs are not a replacement for a trained systems engineer, they can contribute in two primary ways to the modeling process: first, they can generate a significant portion of the information necessary to create a minimum viable product (MVP) model within a fraction of the time, offering a promising way to accelerate the overall model development process. Second, they can answer detailed, domain-specific questions and reduce the time spent on external research.","2835-3161","979-8-3503-6591-7","10.1109/SOSE62659.2024.10620975","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10620975","model-based systems engineering;generative artificial intelligence;large language models;modeling","Generative AI;Open Access;Large language models;Subject matter experts;Medical services;Proposals;Modeling","","10","","14","IEEE","9 Aug 2024","23-26 June 2024","23-26 June 2024","IEEE","IEEE Conferences"
"A Joint LLM-KG System for Disease Q&A","P. C. Sukhwal; V. Rajan; A. Kankanhalli","Department of Information Systems and Analytics, National University of Singapore, Singapore; Department of Information Systems and Analytics, National University of Singapore, Singapore; Department of Information Systems and Analytics, National University of Singapore, Singapore",IEEE Journal of Biomedical and Health Informatics,"6 Mar 2025","2025","29","3","2257","2270","Medical question answer (QA) assistants respond to lay users’ health-related queries by synthesizing information from multiple sources using natural language processing and related techniques. They can serve as vital tools to alleviate issues of misinformation, information overload, and complexity of medical language, thus addressing lay users’ information needs while reducing the burden on healthcare professionals. QA systems, the engines of such assistants, have often used large language models (LLMs) or knowledge graphs (KG), though the approaches could be complementary. LLM-based QA systems excel at understanding complex questions and providing well-formed answers but are prone to factual mistakes. KG-based QA systems, which represent facts well, are mostly limited to answering short-answer questions with pre-created templates. While a few studies have used both LLM and KG for text-based QA, the approaches are still prone to incomplete or inaccurate answers. Extant QA systems also have limitations in terms of automation and performance. We address these challenges by designing a novel, automated disease QA system named Disease Guru–Long-Form Question Answer (DG-LFQA), which effectively utilizes both LLM and KG techniques through a joint reasoning approach to answer disease-related questions appropriate for lay users. Our evaluation of the system using a range of quality metrics demonstrates its efficacy over related baseline systems.","2168-2208","","10.1109/JBHI.2024.3514659","National Research Foundation Singapore; AI Singapore Programme AISG(grant numbers:AISG2-RP-2020-016); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10787401","Question answering;healthcare;large language model;knowledge graph;information extraction","Diseases;Medical services;Cognition;Accuracy;Question answering (information retrieval);Measurement;Knowledge graphs;Fake news;Chatbots;Bioinformatics","Humans;Natural Language Processing;Medical Informatics","12","","80","IEEE","11 Dec 2024","March 2025","","IEEE","IEEE Journals"
"Enhancing Patient Comprehension of Discharge Notes with a Retrieval-Augmented LLM Approach","M. K. H. Dehkordi; J. Lu; Y. Perl; F. P. Deek","Department of Computer Science, NJIT, Newark, NJ, USA; Department of Computer Science, NJIT, Newark, NJ, USA; Department of Computer Science, NJIT, Newark, NJ, USA; Department of Informatics, NJIT, Newark, NJ, USA",2025 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),"29 Jan 2026","2025","","","6966","6973","Discharge notes summarize reasons for hospital stays and diagnosis, include medical history and treatment received, and provide instructions for follow-up care and medications. These notes are often difficult for patients to understand due to medical jargon, abbreviations, and complex structures. Despite recommendations that patient-facing materials be written at a sixth-grade reading level, most discharge notes do not meet this target, creating barriers to comprehension. Large language models (LLMs) can simplify clinical text but risk omitting important information, introducing errors, or producing hallucinations. We propose a retrieval-augmented generation (RAG) pipeline to enhance LLM-based simplification of discharge notes by appending biomedical definitions to prompts. Our pipeline combines (1) direct UMLS concept linking with SciSpaCy to extract canonical names and definitions, and (2) FAISS-based semantic retrieval of additional relevant definitions not explicitly detected by SciSpaCy. These definitions are integrated into prompts for ChatGPT-4o to generate simplified summaries at a sixth-grade reading level. We evaluated this approach on 20 MIMIC-III discharge notes, comparing RAG-augmented outputs (R_notes) with baseline LLM simplifications (B_notes). Manual review measured completeness and correctness, readability was assessed with Flesch-Kincaid Grade Level (FKGL) and Flesch Reading Ease, and LLM-based judgments evaluated clarity. Results show that R_notes achieved higher completeness (77.6 % vs. 72.7 %, the completeness of $R$ _notes is higher than that of B_notes in 16 cases with statistical significant), fewer errors (2 vs. 6), and better contextualization of medical terms ($\mathbf{4. 3 ~ v s. ~} \mathbf{3. 6}$ on a 5 -point scale). Readability also improved, more closely aligning with the sixth-grade target. These improvements highlight the potential of RAG-enhanced prompting to strengthen patient understanding and engagement with their health information.","2156-1133","979-8-3315-1557-7","10.1109/BIBM66473.2025.11356919","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11356919","Discharge note;simplification;summarization;Large Language Modes;Retrieval Augmented Graphs;RAG;ChatGPT","Reviews;Large language models;Retrieval augmented generation;Unified modeling language;Pipelines;Semantics;MIMICs;Manuals;Readability metrics;Medical diagnostic imaging","","1","","53","IEEE","29 Jan 2026","15-18 Dec. 2025","15-18 Dec. 2025","IEEE","IEEE Conferences"
"Translating Formal Specs: Event-B to English","F. K. Vanhari","Dept. Computer and Software, McMaster University, Hamilton, Canada",2024 34th International Conference on Collaborative Advances in Software and COmputiNg (CASCON),"17 Jan 2025","2024","","","1","6","In software development, formal specifications are essential for providing precision and conciseness in describing system behavior. The Event-B specification language is a powerful tool in this domain, offering a variety of data types and a rich set of operations to model complex systems. However, some of these operations use less common notation, which can be challenging to understand. To assist readers of these specifications, we propose translating Event-B expressions and predicates into English. Our primary goal is to ensure that the translations are both accurate and comprehensible. We employ a rule-based system to generate accurate translations, adhering to predefined linguistic rules, and utilize a large language model to select the most readable translation. This hybrid approach ensures both fidelity and readability. Our evaluation includes measuring perplexity scores and human assessments of fluency and adequacy. The results show that GPT-4 aligns best with human evaluators, followed by GPT-3.5, with LLaMA-3 performing slightly lower.","","979-8-3315-0483-0","10.1109/CASCON62161.2024.10838142","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10838142","language translation;Event-B;formal specification;large language model","Translation;Accuracy;Large language models;Refining;Linguistics;Data models;Software;Specification languages;Software reliability;Software development management","","1","","26","IEEE","17 Jan 2025","11-13 Nov. 2024","11-13 Nov. 2024","IEEE","IEEE Conferences"
"Systematic Review of Cloud Enabled AI Framework for Optimizing the Software Development Life Cycle","M. Parthiban; M. H. Priyanka; P. Teja; R. Kumari; S. Narim","Department of Computer Science and Engineering, JNTUK Research Center, Sasi Institute of Technology and Engineering, Andhra Pradesh, India; Department of Computer Science and Engineering, Sasi Institute of Technology and Engineering, Andhra Pradesh, India; Department of Computer Science and Engineering, Sasi Institute of Technology and Engineering, Andhra Pradesh, India; Department of Computer Science and Engineering, Sasi Institute of Technology and Engineering, Andhra Pradesh, India; Department of Computer Science and Engineering, Sasi Institute of Technology and Engineering, Andhra Pradesh, India","2026 IEEE International Conference on Intelligent Systems, Smart and Green Technologies (ICISSGT)","28 Apr 2026","2026","1","","1","5","Software Development Life Cycle (SDLC) remains a solid engineering base on developing failure free software; however, traditional models are commonly fraught with in-efficiencies, human error, and redundancy. Cloud computing and the advent of Artificial Intelligence (AI) in the forms of Large Language Models (LLMs) and Generative AI have provided new possibilities for SDLC efficiency and scalability optimization. This paper formally surveys the current literature and frameworks on cloud-based AI-optimized SDLC. It delineates how AI simplifies requirement extraction, de-sign modeling, auto-coding, testing, and project risk management, whereas cloud infrastructure provides scalability, integration, and flexibility. Comparative evaluation of 22 peer-reviewed articles emphasizes greater precision, development velocity, and resource utilization but also the limitations of traceability, cross-phase orchestration, and security integration. The research highlights major future directions including integrated AI-SDLC systems, agentic orchestration, security conformity to OWASP standards, and sustainability integration. Generally, cloud-enabled AI provides a revolutionary approach to software engineering.","","979-8-3315-7067-5","10.1109/ICISSGT67741.2026.11483940","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11483940","Artificial Intelligence;Software Development Life Cycle;Cloud Computing;Large Language Models;Natural Language Processing;SDLC Optimization","Filtering;Filters;Cloud computing;Internet;Protocols;Computer networks;HTTP;Communication systems;Network function virtualization;Cloud computing security","","","","21","IEEE","28 Apr 2026","6-7 Feb. 2026","6-7 Feb. 2026","IEEE","IEEE Conferences"
